seller_id,seller_revenue
4869f7a5dfa277a7dca6462dcf3b52b2,229472.63
53243585a1d6dc2643021fd1853d8905,222776.05
4a3ca9315b744ce9f8e9374361493884,200472.92
fa1c13f2614d7b5c4749cbc52fecda94,194042.03
7c67e1448b00f6e969d365cea6b010ab,187923.89
7e93a43ef30c4f03f38b393420bc753a,176431.87
da8622b14eb17ae2831f4ac5b9dab84a,160236.57
7a67c85e85bb2ce8582c35f2203ad736,141505.56
1025f0e2d44d7041d6cf58b6550e0bfa,138968.55
955fee9216a65b617aa5c0531780ce60,135171.7
46dc3b2cc0980fb8ec44634e21d2718e,128111.19
6560211a19b47992c3666cc44a7e94c0,123304.83
620c87c171fb2a6dd6e8bb4dec959fc6,114774.5
7d13fca15225358621be4086e1eb0964,113628.97
5dceca129747e92ff8ef7a997dc4f8ca,112155.53
1f50f920176fa81dab994f9023523100,106939.20999999999
cc419e0650a3c5ba77189a1882b7556a,104288.42
a1043bafd471dff536d0c462352beb48,101901.16
3d871de0142ce09b7081e2b9d1733cb1,94914.2
edb1ef5e36e0c8cd84eb3c9b003e486d,79284.55
ccc4bbb5f32a6ab2b7066a4130f114e3,74004.62
f7ba60f8c3f99e7ee4042fdef03b70c4,68395.0
fe2032dab1a61af8794248c8196565c9,65959.61
8581055ce74af1daba164fdbd55a40de,64925.3
cca3071e3e9bb7d12640c9fbe2301306,63754.29
04308b1ee57b6625f47df1d56f00eedf,60130.6
522620dcb18a6b31cd7bdf73665113a9,57168.49
17e34d8224d27a541263c4c64b11a56b,56363.24
7ddcbb64b5bc1ef36ca8c151f6ec77df,55578.57
de722cd6dad950a92b7d4f82673f8833,55426.1
37be5a7c751166fbc5f8ccba4119e043,55350.55
218d46b86c1881d022bce9c68a7d4b15,55093.28
25c5c91f63607446a97b143d2d535d31,54679.22
f5a590cf36251cf1162ea35bef76fe84,53201.78
ceaec5548eefc6e23e6607c5435102e7,52917.18
b2ba3715d723d245138f291a6fe42594,51676.88
966cb4760537b1404caedd472cc610a5,51286.05
e882b2a25a10b9c057cc49695f222c19,51057.54
2bf6a2c1e71bbd29a4ad64e6d3c3629f,50628.9
f8db351d8c4c4c22c6835c19a46f01b0,50525.6
17f51e7198701186712e53a39c564617,48019.0
8160255418d5aaa7dbdc9f4c64ebda44,47017.69
77530e9772f57a62c906e1c21538ab82,46610.4
4e922959ae960d389249c378d1c939f5,46030.37
c826c40d7b19f62a09e2d7c5e7295ee2,45643.74
850f4f8af5ea87287ac68de36e29107f,45355.36
